epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14648.1,1.19066,0.87339,1.13924,0.83067,0.76279,0.81959,0.56336,0.96364,0.64862,1.0572,0.000210071,0.000210071,0.000210071
43,14998.4,1.18184,0.86692,1.13357,0.83573,0.76399,0.8247,0.56686,0.95622,0.64407,1.05347,0.000203,0.000203,0.000203
44,15348.1,1.16619,0.84844,1.12719,0.83659,0.76849,0.82584,0.5706,0.94827,0.63822,1.04962,0.000195929,0.000195929,0.000195929
45,15697.4,1.1607,0.84719,1.12274,0.83708,0.76817,0.82636,0.57376,0.94115,0.63283,1.04614,0.000188857,0.000188857,0.000188857
46,16046.9,1.15412,0.84234,1.12054,0.84842,0.76831,0.828,0.57555,0.93523,0.62962,1.04337,0.000181786,0.000181786,0.000181786
47,16395.9,1.14081,0.82704,1.11558,0.84314,0.77435,0.8294,0.57782,0.93045,0.62668,1.04082,0.000174714,0.000174714,0.000174714
48,16744.6,1.1216,0.80991,1.10596,0.83542,0.77921,0.8308,0.57946,0.92468,0.62337,1.03852,0.000167643,0.000167643,0.000167643
49,17094,1.11322,0.80456,1.10104,0.8391,0.77313,0.82936,0.58053,0.91998,0.61933,1.03615,0.000160571,0.000160571,0.000160571
50,17443.6,1.10517,0.79428,1.09559,0.84113,0.77049,0.83005,0.58293,0.91606,0.61581,1.03434,0.0001535,0.0001535,0.0001535
51,17792.8,1.10261,0.79424,1.09345,0.84891,0.77143,0.83257,0.58438,0.91191,0.61289,1.03237,0.000146429,0.000146429,0.000146429
52,18141.4,1.0949,0.78037,1.09228,0.83035,0.78308,0.83271,0.58507,0.90834,0.6098,1.03079,0.000139357,0.000139357,0.000139357
53,18490.5,1.07097,0.77097,1.08095,0.83254,0.78525,0.83411,0.58601,0.90445,0.60695,1.02878,0.000132286,0.000132286,0.000132286
54,18839.4,1.06647,0.76089,1.08042,0.83376,0.78208,0.83276,0.58725,0.90067,0.60442,1.02696,0.000125214,0.000125214,0.000125214
55,19189.2,1.07142,0.76533,1.07922,0.83435,0.78354,0.83345,0.58789,0.89762,0.60177,1.0255,0.000118143,0.000118143,0.000118143
56,19538.6,1.05956,0.75225,1.07271,0.83285,0.78798,0.83519,0.58982,0.89493,0.5999,1.0242,0.000111071,0.000111071,0.000111071
57,19887.8,1.04981,0.74522,1.07117,0.83677,0.78502,0.83592,0.59084,0.89219,0.59823,1.02303,0.000104,0.000104,0.000104
58,20236.5,1.04104,0.73219,1.06632,0.84236,0.78347,0.83703,0.59258,0.88955,0.59596,1.02163,9.69286e-05,9.69286e-05,9.69286e-05
59,20584.9,1.03638,0.73312,1.06148,0.84403,0.78306,0.83794,0.59319,0.88746,0.5944,1.02052,8.98571e-05,8.98571e-05,8.98571e-05
60,20934.2,1.0213,0.72144,1.05973,0.84209,0.78581,0.83893,0.59374,0.8848,0.59256,1.01916,8.27857e-05,8.27857e-05,8.27857e-05
61,21280.4,0.98784,0.64843,1.0508,0.84273,0.78522,0.83934,0.59432,0.88209,0.59025,1.01784,7.57143e-05,7.57143e-05,7.57143e-05
62,21626.2,0.95264,0.62201,1.03865,0.84543,0.78748,0.84019,0.59518,0.87912,0.58782,1.01639,6.86429e-05,6.86429e-05,6.86429e-05
63,21972.4,0.93821,0.61075,1.03204,0.84591,0.79114,0.84107,0.59587,0.87584,0.5857,1.01505,6.15714e-05,6.15714e-05,6.15714e-05
64,22318.6,0.93097,0.60502,1.02925,0.84508,0.7915,0.84126,0.59715,0.8726,0.58303,1.01379,5.45e-05,5.45e-05,5.45e-05
65,22665.4,0.9163,0.5953,1.02212,0.84542,0.79091,0.84166,0.59837,0.8694,0.58062,1.01249,4.74286e-05,4.74286e-05,4.74286e-05
66,23011.9,0.90164,0.58545,1.01726,0.84539,0.7908,0.84188,0.59918,0.86646,0.57863,1.01123,4.03571e-05,4.03571e-05,4.03571e-05
67,23357.8,0.90328,0.58837,1.01867,0.84876,0.79205,0.84236,0.60064,0.86378,0.57665,1.01002,3.32857e-05,3.32857e-05,3.32857e-05
68,23704.5,0.89125,0.58146,1.01352,0.84835,0.7945,0.843,0.60061,0.86114,0.57461,1.00889,2.62143e-05,2.62143e-05,2.62143e-05
69,24050.7,0.88485,0.57313,1.01158,0.84952,0.79448,0.8448,0.60224,0.85854,0.57301,1.00768,1.91429e-05,1.91429e-05,1.91429e-05
70,24396.2,0.88245,0.57273,1.01126,0.84843,0.79443,0.84529,0.60311,0.85665,0.57163,1.00668,1.20714e-05,1.20714e-05,1.20714e-05
